title;content;summary;category;date;author;relatedPlayerNames;relatedMatchOpponent
Thiago Santos renueva hasta 2028;El delantero brasileño Thiago Santos ha renovado su contrato con el CFS Malgrat hasta junio de 2028. El goleador del equipo expresó su felicidad por continuar en el club donde se ha convertido en ídolo de la afición. Con 55 goles en 110 partidos el brasileño es una pieza clave del proyecto deportivo.;Thiago Santos amplía su vinculación con el club hasta 2028;fichajes;2025-07-01;Prensa CFS Malgrat;Thiago Santos;
Pedro Lozano elegido MVP de septiembre;El extremo español Pedro Lozano ha sido elegido mejor jugador del mes de septiembre tras sus destacadas actuaciones en Liga y Champions. Con 4 goles y 2 asistencias el atacante ha sido decisivo en las victorias del equipo.;Pedro Lozano se lleva el premio al mejor jugador del mes;partidos;2025-10-01;Redacción Deportiva;Pedro Lozano;
Victoria histórica ante el Borussia Dortmund;El CFS Malgrat logró una épica victoria 3-2 ante el Borussia Dortmund en la fase de grupos de la Champions League. El Estadio El Municipal vibró con los goles de Thiago Santos Rafael Domínguez y Pedro Lozano en una noche mágica para el fútbol malgratense/s.;Épica remontada ante el Dortmund en Champions;partidos;2025-10-23;Crónica Deportiva;Thiago Santos-Rafael Domínguez-Pedro Lozano;Borussia Dortmund
Nuevo fichaje: François Lambert llega desde el Olympique de Lyon;El CFS Malgrat ha hecho oficial la incorporación del delantero francés François Lambert procedente del Olympique de Lyon. El atacante galo de 26 años firma por cuatro temporadas y llega para reforzar la línea de ataque del equipo.;François Lambert nuevo refuerzo ofensivo del CFS Malgrat;fichajes;2025-07-10;Prensa CFS Malgrat;François Lambert;
Edinson Vargas convocado con Uruguay;El centrocampista uruguayo Edinson Vargas ha sido convocado por la selección de Uruguay para los próximospartidos de clasificación mundialista. El jugador del CFS Malgrat está en un gran momento de forma con 18 goles esta temporada.;Vargas representará a Uruguay en las eliminatorias;comunidad;2025-09-25;Prensa CFS Malgrat;Edinson Vargas;
La cantera sigue dando frutos: Santiago Herrero debuta con gol;El joven delantero Santiago Herrero de solo 22 años debutó con el primer equipo marcando un gol en el amistoso de pretemporada. El canterano es la última joya de la prolífica academia del CFS Malgrat.;Herrero debuta marcando con el primer equipo;comunidad;2025-07-16;Cantera CFS Malgrat;Santiago Herrero;Selección Local
Goleada histórica: CFS Malgrat 5-0 CFS Mataró;El equipo de la ciudad firmó una de las goleadas más contundentes de la temporada al derrotar 5-0 al CFS Mataró en el Estadio El Municipal. Cinco goleadores diferentes rubricaron una tarde perfecta de fútbol ofensivo.;Cinco goles distintos en una exhibición ofensiva;partidos;2025-11-10;Crónica Deportiva;Thiago Santos-Pedro Lozano-Edinson Vargas-François Lambert-James Wilson;CFS Mataró
Adrián Molina cumple 120 partidos como portero titular;El guardameta y capitán Adrián Molina alcanzó la cifra de 120 partidos oficiales con el CFS Malgrat. El portero español se ha convertido en un símbolo del club y su liderazgo es fundamental tanto dentro como fuera del campo.;Adrián Molina alcanza un hito histórico bajo palos;institucional;2025-11-15;Prensa CFS Malgrat;Adrián Molina;
El CFS Malgrat avanza en la Copa del Rey;Tras superar al CD Numancia 4-0 y al Racing Santander 2-1 el CFS Malgrat se clasifica para cuartos de final de la Copa del Rey. El equipo ha mostrado solidez y contundencia en el torneo del KO.;El equipo se clasifica para cuartos de Copa;partidos;2025-12-01;Prensa CFS Malgrat;;Racing Santander
Nuevo sistema táctico: el 3-5-2 revoluciona al equipo;El cuerpo técnico del CFS Malgrat ha implementado un nuevo sistema táctico basado en el 3-5-2 que ha dado excelentes resultados. La defensa de tres centrales con carrileros largos ha permitido un mayor control del mediocampo y más opciones ofensivas.;El cambio táctico impulsa los resultados del equipo;entrenamiento;2025-12-20;Análisis Táctico;;
